step,timestamp,x,y,velocity,heading_degrees,action,steering_angle_degrees,confidence,recommended_speed,nearest_distance,heading_error_degrees
58,5.800000000000001,54.11817523174053,14.804501976082122,2.6431832267975977,118.63208845318806,左转,5.170065232809108,1.0,1.25,0.3265960064024979,5.170065232809108
59,5.9,51.977809763437776,17.593227157384714,1.8014640605694836,129.88408324000866,左转,-0.20290209869165696,0.8,4.166666666666667,1.016853935896204,-0.20290209869165696
60,6.0,51.09440627756832,19.58444592456464,2.151496183694137,139.96041187174765,左转,2.937590644440944,1.0,2.0833333333333335,0.40039154956317374,2.937590644440944
61,6.1000000000000005,49.041665941770205,21.323416028864195,1.8575164066517131,141.2566992341005,直行,10.56237443634091,0.8,1.25,0.623017363636464,10.56237443634091
62,6.2,48.38272712014055,23.192871912247057,1.6217348136994865,160.25896157418993,左转,7.575530847061069,0.8,1.25,0.9056543022505033,7.575530847061069
63,6.300000000000001,46.19138024839135,24.611621942064197,1.544189010213796,162.22554313283328,左转,16.729149769900786,0.8,1.25,1.179992737134858,16.729149769900786
64,6.4,43.23817823959727,24.418281562373732,2.1331458284438685,179.43832619286127,左转,2.771297265237645,0.8,2.0833333333333335,0.7255790674527733,2.771297265237645
65,6.5,39.536534764210955,24.9702373219691,1.0276197979792783,-180.8693088433816,大左转,16.58421594861159,1.0,0.625,0.46441989814021273,16.58421594861159
66,6.6000000000000005,37.268993259299464,24.148224704200697,2.4897233911794907,-173.1941065064168,小左转,14.228405027735999,0.8,1.25,0.6365440951521902,14.228405027735999
67,6.7,34.64967560676648,24.16075960043167,2.4323819867198346,-163.22688412251577,大左转,19.577855525771128,1.0,0.625,0.2295279116041871,19.577855525771128
68,6.800000000000001,33.08158187607748,22.995497587276372,1.7055474046856147,-142.3523421226382,左转,4.499362505522726,0.8,2.0833333333333335,0.5816043822619098,4.499362505522726
69,6.9,30.457715702488642,21.19055820820527,2.0209406254970057,-137.2076842889184,大左转,10.289936970122355,1.0,1.25,0.3161823295299942,10.289936970122355
70,7.0,28.566092025840955,19.972879482558614,2.4758050448436055,-132.09216038986597,小左转,17.718838485512055,1.0,0.625,0.3358955260994794,17.718838485512055
71,7.1000000000000005,28.076135630561556,16.523956100238756,1.9544644714893251,-111.62919070535067,左转,-3.615335876239907,0.8,4.166666666666667,1.4457245721818952,-3.615335876239907
72,7.2,26.045106622078894,14.818952389974736,1.9375633248928175,-107.82468728519568,大左转,11.542671107674533,1.0,1.25,0.34158129402750476,11.542671107674533
73,7.300000000000001,24.933201326344772,13.029523713514466,2.1071046457895144,-98.97007953925535,小右转,15.75906464434239,0.8,0.625,0.5170044825701302,15.75906464434239
74,7.4,25.449799937716627,10.153649760438306,2.243858635651688,-81.39249246980674,左转,-3.6879572686717843,1.0,2.0833333333333335,0.47531908530231504,-3.6879572686717843
75,7.5,24.813386199355843,7.115186814897565,2.2241880815369783,-71.5028359850383,大左转,7.420871630474477,0.8,1.25,0.5002588144975167,7.420871630474477
76,7.6000000000000005,25.8941598912293,4.928361541769361,2.3832994687365274,-38.38945438609856,小右转,-41.50940780416161,0.7,0.625,0.05958731304633529,-41.50940780416161
77,7.7,40.27354869058502,-5.101096326216947,1.934695639031834,6.2955276245536735,左转,-5.494025652161598,1.0,1.25,0.24799327150211933,-5.494025652161598
78,7.800000000000001,40.912708174494014,-4.593245181999681,2.3916436421462985,0.12034314791182614,大右转,-3.653780335717288,1.0,2.0833333333333335,0.4160160390737842,-3.653780335717288
79,7.9,41.34097648564748,-5.155133378296728,2.0972499057465326,-0.7456647748209941,右转,2.188524801490378,1.0,2.0833333333333335,0.2221594994115302,2.188524801490378
